sku,prueba,pValue
1,promo vs weekday,0.9969876259484729
1,promo vs bolOpen,0.09770312630882257
1,bolOpen vs weekday,1.9189480866985953e-97
1,bolHoliday vs promo,0.04193924740884467
1,bolHoliday vs weekday,3.2557551920812554e-97
1,bolHoliday vs bolOpen,1.7318154159327416e-126
2,promo vs weekday,0.9969876259484729
2,promo vs bolOpen,0.15030492465788203
2,bolOpen vs weekday,1.9189480866985953e-97
2,bolHoliday vs promo,0.06866477429895995
2,bolHoliday vs weekday,2.791749974823376e-97
2,bolHoliday vs bolOpen,1.7318154159327416e-126
3,promo vs weekday,0.9969876259484729
3,promo vs bolOpen,0.20615716670888382
3,bolOpen vs weekday,9.999462363114776e-98
3,bolHoliday vs promo,0.03991273977152072
3,bolHoliday vs weekday,1.1744439152316264e-97
3,bolHoliday vs bolOpen,3.032463189882357e-119
4,promo vs weekday,0.9969876259484729
4,promo vs bolOpen,0.16513318277005676
4,bolOpen vs weekday,2.5705639225472742e-102
4,bolHoliday vs promo,0.05261884180596141
4,bolHoliday vs weekday,9.186836903277314e-99
4,bolHoliday vs bolOpen,4.738810541085556e-122
5,promo vs weekday,0.9969876259484729
5,promo vs bolOpen,0.07571480614533439
5,bolOpen vs weekday,5.909627241842805e-99
5,bolHoliday vs promo,0.04193924740884467
5,bolHoliday vs weekday,3.7968774444961455e-97
5,bolHoliday vs bolOpen,5.014383281530817e-128
6,promo vs weekday,0.9969876259484729
6,promo vs bolOpen,0.2844930943686322
6,bolOpen vs weekday,5.973094632322571e-104
6,bolHoliday vs promo,0.13037989451598828
6,bolHoliday vs weekday,9.186836903277314e-99
6,bolHoliday vs bolOpen,1.4778809041788716e-123
7,promo vs weekday,1.0
7,promo vs bolOpen,1.0
7,bolOpen vs weekday,2.290398241366141e-96
7,bolHoliday vs promo,1.0
7,bolHoliday vs weekday,1.1744439152316597e-97
7,bolHoliday vs bolOpen,9.94223390761412e-121
8,promo vs weekday,0.9977988392572147
8,promo vs bolOpen,0.20739607299057186
8,bolOpen vs weekday,1.4716538428470416e-106
8,bolHoliday vs promo,0.18636693804264026
8,bolHoliday vs weekday,2.9785078141445735e-100
8,bolHoliday vs bolOpen,1.2897090329570751e-132
9,promo vs weekday,0.9963976271454764
9,promo vs bolOpen,0.2624012661664352
9,bolOpen vs weekday,1.8737776208232032e-62
9,bolHoliday vs promo,0.2164441517646767
9,bolHoliday vs weekday,3.17710868016279e-101
9,bolHoliday vs bolOpen,3.5331795859033784e-85
10,promo vs weekday,0.9997264315844906
10,promo vs bolOpen,0.9657858785433745
10,bolOpen vs weekday,2.324317102385867e-62
10,bolHoliday vs promo,0.9987237029569834
10,bolHoliday vs weekday,4.0511838731624033e-100
10,bolHoliday vs bolOpen,3.033608840423082e-84
11,promo vs weekday,0.9977988392572147
11,promo vs bolOpen,0.20970306064422842
11,bolOpen vs weekday,1.8737776208232032e-62
11,bolHoliday vs promo,0.2184966689447956
11,bolHoliday vs weekday,3.17710868016279e-101
11,bolHoliday vs bolOpen,3.5331795859033784e-85
12,promo vs weekday,0.9999917926268256
12,promo vs bolOpen,1.0
12,bolOpen vs weekday,1.0
12,bolHoliday vs promo,1.0
12,bolHoliday vs weekday,1.0
12,bolHoliday vs bolOpen,1.0
13,promo vs weekday,1.0
13,promo vs bolOpen,1.0
13,bolOpen vs weekday,5.973094632322571e-104
13,bolHoliday vs promo,1.0
13,bolHoliday vs weekday,9.186836903277314e-99
13,bolHoliday vs bolOpen,1.4778809041788716e-123
14,promo vs weekday,0.9977988392572147
14,promo vs bolOpen,0.7389554666564275
14,bolOpen vs weekday,1.3633526925774508e-95
14,bolHoliday vs promo,0.6345043163689585
14,bolHoliday vs weekday,4.781763747247504e-97
14,bolHoliday vs bolOpen,5.905313392770232e-125
15,promo vs weekday,0.9969876259484729
15,promo vs bolOpen,0.09309210943018026
