valores,score,sku,param
1,0.9078694519704441,1,max_features
2,0.9184005651953006,1,max_features
3,0.9184921723342522,1,max_features
4,0.9108109542533469,1,max_features
5,0.9045210118029255,1,max_features
6,0.8957881854637728,1,max_features
7,0.888594952117626,1,max_features
1,0.8884141742013211,2,max_features
2,0.9293110829761853,2,max_features
3,0.9513931789522111,2,max_features
4,0.9580652301711724,2,max_features
5,0.9619568002072325,2,max_features
6,0.962558779940249,2,max_features
7,0.9676400778837747,2,max_features
1,0.8312717294527117,3,max_features
2,0.8969377308534664,3,max_features
3,0.9206347742307416,3,max_features
4,0.9338846493227894,3,max_features
5,0.9364201123117376,3,max_features
6,0.9416272037279574,3,max_features
7,0.9382865693884449,3,max_features
1,0.8092154253791418,4,max_features
2,0.8445228484282149,4,max_features
3,0.8925005849443575,4,max_features
4,0.9222377050440327,4,max_features
5,0.9379726192643294,4,max_features
6,0.9424018725500904,4,max_features
7,0.9493063599551785,4,max_features
1,0.8051865630754478,5,max_features
2,0.8557524361692324,5,max_features
3,0.8792384022228723,5,max_features
4,0.8976745467349361,5,max_features
5,0.902280789535214,5,max_features
6,0.9025987378563927,5,max_features
7,0.9061420057543104,5,max_features
1,0.9269365425249212,6,max_features
2,0.9409156598194852,6,max_features
3,0.9518821244607123,6,max_features
4,0.9455483311394542,6,max_features
5,0.9296779930542217,6,max_features
6,0.9347650586337299,6,max_features
7,0.9025552716148171,6,max_features
1,0.9176044019898302,7,max_features
2,0.9302705346387585,7,max_features
3,0.9364071756010653,7,max_features
4,0.9446666108022681,7,max_features
5,0.9471144636070887,7,max_features
6,0.9512143010214799,7,max_features
7,0.9495485309547023,7,max_features
1,0.921327801218995,8,max_features
2,0.9483136145229665,8,max_features
3,0.9594123381997106,8,max_features
4,0.9636770137593305,8,max_features
5,0.9671902174794176,8,max_features
6,0.9663321650373158,8,max_features
7,0.9647484884448568,8,max_features
1,0.9311516369459525,9,max_features
2,0.9532818009020011,9,max_features
3,0.9581226674448898,9,max_features
4,0.9581930224335267,9,max_features
5,0.962091711114759,9,max_features
6,0.9622115528353993,9,max_features
7,0.9575292957568458,9,max_features
1,0.9186517445155025,10,max_features
2,0.9503966888433575,10,max_features
3,0.964653876816733,10,max_features
4,0.970136892528846,10,max_features
5,0.973325933361381,10,max_features
6,0.9756923710491096,10,max_features
7,0.9770405263749945,10,max_features
1,0.9467268879640689,11,max_features
2,0.9608382483634922,11,max_features
3,0.9622197274127804,11,max_features
4,0.9619884828780518,11,max_features
5,0.9581994960226158,11,max_features
6,0.9565256217879994,11,max_features
7,0.9527189669159989,11,max_features
1,0.9532774912314863,12,max_features
2,0.9712655280949835,12,max_features
3,0.9815491896981364,12,max_features
4,0.9826913616275544,12,max_features
5,0.9790448390857577,12,max_features
6,0.9748732813589903,12,max_features
7,0.9747745662574283,12,max_features
1,0.9582408495056491,13,max_features
2,0.9719329127787165,13,max_features
3,0.9805281261569591,13,max_features
4,0.9869232184117017,13,max_features
5,0.990908191569847,13,max_features
6,0.9924415895140014,13,max_features
7,0.9935718923753689,13,max_features
1,0.911244184778386,14,max_features
2,0.928607292694154,14,max_features
3,0.9412513406395278,14,max_features
4,0.939889723457183,14,max_features
5,0.9369084313824279,14,max_features
6,0.937039904833325,14,max_features
7,0.9231483350421953,14,max_features
1,0.9319304058494156,15,max_features
2,0.9528655363673944,15,max_features
3,0.9755730633561418,15,max_features
4,0.9793455288921029,15,max_features
5,0.9829764721296557,15,max_features
6,0.9842632436061375,15,max_features
7,0.9831586015111058,15,max_features
1,0.9077968258967799,16,max_features
2,0.928951749254413,16,max_features
3,0.9435530813339008,16,max_features
4,0.9490763187265944,16,max_features
5,0.9541542622146661,16,max_features
6,0.9586815760373768,16,max_features
7,0.9623773410127081,16,max_features
1,0.9042421126258793,17,max_features
2,0.9437134697059848,17,max_features
3,0.9639699027659387,17,max_features
4,0.9688654663336621,17,max_features
5,0.9732806179109877,17,max_features
6,0.9752200914332184,17,max_features
7,0.9781336834978148,17,max_features
1,0.9205678610421321,18,max_features
2,0.9497524276084373,18,max_features
3,0.9555812074903081,18,max_features
4,0.9612602738717096,18,max_features
5,0.961591079890085,18,max_features
6,0.9657597079204207,18,max_features
